Test, Size, Bionomial, , ,Binary
, , Variables, Clauses, Time, Variables, Clauses, Time
1,6,216,3358,2,648,1723,1
2,9,729,23677,1,2025,8872,1
3,9,729,23675,3,2025,8982,3
4,12,1728,57504,2,4032,16004,3
5,16,4096,246883,9,8192,43193,12
6,25,15625,1502796,17,28125,186790,14
7,36,46656,6537716,29,77760,600415,23
8,49,117649,22599573,213,175273,1449914,159
9,64,out of memory, out of memory, out of memory, 360448,3019102,394
10,81,out of memory, out of memory, out of memory, 715149,6953574,137
